iter	Passed	Remaining
0	160	160279
1	167	83387
2	170	56600
3	177	44109
4	183	36519
5	188	31275
6	193	27484
7	198	24632
8	203	22390
9	207	20579
10	212	19113
11	217	17876
12	221	16845
13	226	15954
14	231	15191
15	235	14504
16	240	13913
17	245	13399
18	250	12936
19	255	12525
20	260	12125
21	264	11764
22	267	11356
23	272	11074
24	276	10799
25	281	10551
26	286	10316
27	290	10095
28	295	9887
29	299	9692
30	304	9517
31	309	9348
32	313	9186
33	318	9039
34	322	8895
35	327	8762
36	332	8644
37	336	8523
38	341	8404
39	345	8296
40	350	8203
41	355	8104
42	359	8007
43	362	7866
44	366	7777
45	369	7654
46	373	7572
47	378	7497
48	382	7427
49	385	7333
50	390	7264
51	393	7178
52	398	7121
53	403	7071
54	408	7024
55	413	6972
56	417	6900
57	418	6802
58	423	6753
59	428	6707
60	432	6660
61	437	6619
62	442	6574
63	446	6531
64	451	6490
65	453	6411
66	457	6373
67	462	6337
68	466	6300
69	471	6270
70	476	6236
71	481	6205
72	486	6175
73	490	6142
74	493	6082
75	497	6051
76	502	6026
77	506	5982
78	508	5927
79	512	5899
80	517	5871
81	520	5831
82	525	5804
83	530	5779
84	534	5757
85	538	5721
86	542	5696
87	545	5654
88	551	5640
89	555	5618
90	560	5596
91	565	5579
92	570	5561
93	576	5559
94	581	5539
95	586	5519
96	590	5498
97	595	5479
98	599	5459
99	604	5440
100	609	5427
101	615	5418
102	620	5402
103	625	5388
104	631	5385
105	637	5373
106	641	5356
107	643	5315
108	647	5296
109	652	5279
110	657	5263
111	661	5246
112	666	5234
113	669	5204
114	674	5189
115	678	5173
116	683	5159
117	688	5144
118	692	5129
119	697	5114
120	701	5099
121	706	5083
122	708	5052
123	713	5037
124	717	5022
125	722	5008
126	726	4994
127	729	4968
128	733	4952
129	735	4921
130	739	4907
131	744	4896
132	749	4886
133	754	4874
134	758	4857
135	762	4844
136	767	4831
137	771	4819
138	776	4807
139	780	4794
140	785	4782
141	789	4771
142	794	4760
143	798	4748
144	803	4737
145	807	4725
146	812	4713
147	816	4701
148	821	4691
149	825	4679
150	830	4668
151	834	4657
152	839	4646
153	842	4628
154	847	4617
155	851	4608
156	856	4598
157	860	4587
158	865	4577
159	869	4566
160	874	4555
161	878	4544
162	883	4535
163	886	4517
164	890	4508
165	895	4498
166	898	4483
167	903	4473
168	907	4463
169	912	4453
170	914	4434
171	919	4425
172	923	4416
173	926	4397
174	930	4387
175	935	4378
176	939	4369
177	944	4361
178	948	4352
179	953	4343
180	958	4335
181	962	4326
182	967	4317
183	971	4309
184	976	4301
185	980	4293
186	985	4285
187	990	4278
188	995	4271
189	1000	4263
190	1004	4255
191	1009	4248
192	1014	4241
193	1019	4234
194	1023	4226
195	1028	4219
196	1033	4212
197	1037	4203
198	1042	4195
199	1046	4187
200	1051	4180
201	1056	4171
202	1060	4163
203	1065	4157
204	1071	4157
205	1076	4149
206	1080	4140
207	1085	4132
208	1089	4123
209	1094	4116
210	1098	4108
211	1103	4099
212	1107	4092
213	1112	4084
214	1116	4076
215	1120	4068
216	1125	4061
217	1129	4053
218	1134	4045
219	1139	4038
220	1143	4031
221	1148	4023
222	1152	4015
223	1157	4008
224	1161	4000
225	1165	3992
226	1170	3985
227	1174	3977
228	1179	3969
229	1183	3962
230	1187	3954
231	1192	3947
232	1196	3939
233	1201	3932
234	1205	3924
235	1210	3917
236	1214	3910
237	1218	3902
238	1223	3895
239	1228	3888
240	1232	3882
241	1237	3876
242	1242	3870
243	1247	3864
244	1255	3868
245	1260	3862
246	1265	3858
247	1270	3852
248	1275	3846
249	1280	3840
250	1284	3833
251	1289	3826
252	1293	3819
253	1298	3812
254	1302	3805
255	1307	3799
256	1311	3791
257	1316	3785
258	1320	3777
259	1325	3771
260	1329	3764
261	1334	3757
262	1338	3751
263	1343	3745
264	1347	3737
265	1352	3731
266	1356	3724
267	1361	3717
268	1365	3710
269	1370	3705
270	1374	3698
271	1379	3691
272	1384	3685
273	1388	3679
274	1393	3673
275	1397	3666
276	1402	3659
277	1406	3653
278	1411	3646
279	1415	3639
280	1419	3633
281	1424	3626
282	1428	3620
283	1433	3614
284	1438	3607
285	1442	3601
286	1447	3594
287	1451	3588
288	1456	3582
289	1460	3576
290	1465	3570
291	1469	3564
292	1474	3558
293	1479	3551
294	1483	3545
295	1487	3538
296	1492	3533
297	1497	3527
298	1502	3521
299	1506	3515
300	1511	3509
301	1515	3503
302	1520	3497
303	1526	3494
304	1533	3495
305	1538	3489
306	1543	3483
307	1547	3476
308	1551	3470
309	1556	3463
310	1560	3457
311	1565	3451
312	1569	3445
313	1574	3439
314	1578	3433
315	1583	3427
316	1587	3421
317	1592	3414
318	1596	3408
319	1601	3403
320	1605	3396
321	1610	3390
322	1615	3385
323	1619	3379
324	1624	3373
325	1628	3367
326	1632	3360
327	1637	3354
328	1641	3348
329	1646	3342
330	1650	3336
331	1655	3330
332	1659	3324
333	1664	3318
334	1668	3312
335	1673	3306
336	1677	3300
337	1682	3294
338	1686	3288
339	1690	3282
340	1695	3276
341	1699	3270
342	1704	3264
343	1709	3259
344	1713	3253
345	1718	3247
346	1722	3241
347	1726	3235
348	1731	3229
349	1735	3223
350	1740	3217
351	1744	3211
352	1749	3205
353	1753	3199
354	1757	3193
355	1762	3187
356	1766	3182
357	1771	3176
358	1775	3170
359	1780	3165
360	1785	3159
361	1789	3154
362	1803	3165
363	1808	3159
364	1812	3153
365	1816	3147
366	1821	3141
367	1825	3135
368	1830	3129
369	1834	3123
370	1838	3117
371	1842	3111
372	1847	3105
373	1851	3099
374	1856	3093
375	1860	3088
376	1865	3082
377	1869	3076
378	1874	3071
379	1879	3065
380	1883	3060
381	1888	3054
382	1892	3049
383	1897	3043
384	1902	3038
385	1906	3032
386	1910	3026
387	1915	3020
388	1919	3015
389	1924	3009
390	1928	3004
391	1933	2998
392	1937	2992
393	1942	2987
394	1946	2981
395	1951	2975
396	1955	2970
397	1959	2964
398	1964	2959
399	1969	2953
400	1973	2948
401	1978	2942
402	1982	2937
403	1987	2931
404	1991	2926
405	1996	2920
406	2001	2916
407	2007	2912
408	2011	2907
409	2016	2902
410	2021	2896
411	2025	2891
412	2030	2886
413	2035	2880
414	2039	2875
415	2044	2869
416	2048	2863
417	2052	2858
418	2057	2852
419	2061	2847
420	2066	2841
421	2070	2835
422	2074	2830
423	2079	2824
424	2083	2819
425	2088	2813
426	2092	2807
427	2096	2802
428	2101	2796
429	2106	2791
430	2110	2786
431	2114	2780
432	2119	2775
433	2124	2770
434	2128	2764
435	2133	2759
436	2138	2754
437	2142	2749
438	2147	2743
439	2151	2738
440	2155	2732
441	2160	2727
442	2164	2721
443	2169	2716
444	2173	2710
445	2178	2705
446	2182	2700
447	2187	2695
448	2191	2689
449	2196	2684
450	2200	2678
451	2205	2673
452	2209	2668
453	2214	2662
454	2218	2657
455	2222	2651
456	2227	2646
457	2232	2641
458	2236	2636
459	2241	2631
460	2245	2625
461	2250	2620
462	2254	2615
463	2259	2610
464	2264	2604
465	2268	2599
466	2273	2594
467	2277	2589
468	2282	2584
469	2288	2580
470	2292	2575
471	2297	2569
472	2301	2564
473	2305	2558
474	2310	2553
475	2314	2548
476	2319	2542
477	2323	2537
478	2328	2532
479	2332	2526
